"id"	"first_material_id"	"second_material_id"	"name"	"img"	"effect"	"created_at"	"updated_at"	"basic_attribute"
"1"	"1"	"1"	"无尽之刃"	"http://static.lolbox.duowan.com/images/items/3031.png"	"暴击时加200%伤害"	"21/8/2019 02:59:47"	"21/8/2019 03:11:04"	"+40攻击力"
"2"	"1"	"2"	"神圣之剑"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824209912.png"	"每秒有7%的概率将暴击率提升至100%"	"21/8/2019 03:15:20"	"21/8/2019 03:15:20"	"+20攻击力，+20%攻击速度"
"3"	"1"	"3"	"饮血剑"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824198304.png"	"攻击伤害的50%吸血"	"21/8/2019 03:17:27"	"21/8/2019 03:17:27"	"+20攻击力，+20魔抗"
"4"	"1"	"4"	"朔极之矛"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824209457.png"	"施放技能后每次攻击恢复自身15%最大法力值"	"21/8/2019 03:18:59"	"21/8/2019 03:18:59"	"+20攻击力，+20法力值"
"5"	"1"	"5"	"海克斯科技枪刃"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824203467.png"	"攻击伤害的25%吸血"	"21/8/2019 03:20:06"	"21/8/2019 03:20:06"	"+20攻击力，+20%技能伤害"
"6"	"1"	"6"	"守护天使"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824203389.png"	"死亡后复活并恢复500生命值"	"21/8/2019 03:21:03"	"21/8/2019 03:21:03"	"+20攻击力，+20护甲"
"7"	"1"	"7"	"基克的先驱"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824210863.png"	"邻近左右两格的友军获得15%攻击速度"	"21/8/2019 03:22:15"	"21/8/2019 03:22:15"	"+20攻击力，+200生命值"
"8"	"1"	"8"	"幽梦之灵"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824210759.png"	"持有者增加刺客职业"	"21/8/2019 03:23:17"	"21/8/2019 03:23:17"	"+40攻击力"
"9"	"2"	"2"	"疾射火炮"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824204283.png"	"攻击不会被闪避，攻击距离翻倍"	"21/8/2019 03:24:43"	"21/8/2019 03:24:43"	"+40%攻击速度"
"10"	"2"	"3"	"诅咒之刃"	"https://ol.3dmgame.com/uploads/images/xiaz/2019/0618/1560824198167.png"	"攻击时有20%概率使敌人星级减1"	"21/8/2019 03:26:22"	"21/8/2019 03:26:22"	"+20%攻击速度，+20魔抗"
