"id"	"hero_id"	"star"	"life_value"	"guard_value"	"magic_resistance"	"damage_value"	"attack_speed"	"attack_distance"	"init_magic_value"	"max_magic_value"	"created_at"	"updated_at"
"1"	"2"	"1"	"850"	"25"	"20"	"65"	"0.7"	"2"	"0"	"100"	"20/8/2019 08:19:19"	"20/8/2019 08:19:19"
"2"	"2"	"2"	"1530"	"25"	"20"	"117"	"0.7"	"2"	"0"	"100"	"20/8/2019 08:20:52"	"20/8/2019 08:20:52"
"3"	"2"	"3"	"3060"	"25"	"20"	"234"	"0.7"	"2"	"0"	"100"	"20/8/2019 08:20:52"	"20/8/2019 08:20:52"
"4"	"3"	"1"	"700"	"25"	"20"	"108"	"0.6"	"3"	"50"	"150"	"20/8/2019 08:26:35"	"20/8/2019 08:26:35"
"5"	"3"	"2"	"1260"	"25"	"20"	"108"	"0.6"	"3"	"50"	"150"	"20/8/2019 08:26:35"	"20/8/2019 08:26:35"
"6"	"3"	"3"	"2520"	"25"	"20"	"216"	"0.6"	"3"	"50"	"150"	"20/8/2019 08:26:35"	"20/8/2019 08:26:35"
"7"	"4"	"1"	"700"	"25"	"20"	"65"	"0.7"	"1"	"0"	"100"	"20/8/2019 08:30:31"	"20/8/2019 08:30:31"
"8"	"4"	"2"	"1260"	"25"	"20"	"117"	"0.7"	"1"	"0"	"100"	"20/8/2019 08:30:31"	"20/8/2019 08:30:31"
"9"	"4"	"3"	"2520"	"25"	"20"	"234"	"0.7"	"1"	"0"	"100"	"20/8/2019 08:30:31"	"20/8/2019 08:30:31"
"10"	"5"	"1"	"550"	"20"	"20"	"70"	"0.6"	"1"	"0"	"75"	"20/8/2019 08:36:51"	"20/8/2019 08:36:51"
"11"	"5"	"2"	"990"	"20"	"20"	"126"	"0.6"	"1"	"0"	"75"	"20/8/2019 08:36:51"	"20/8/2019 08:36:51"
"12"	"5"	"3"	"1980"	"20"	"20"	"256"	"0.6"	"1"	"0"	"75"	"20/8/2019 08:36:51"	"20/8/2019 08:36:51"
"13"	"6"	"1"	"600"	"20"	"20"	"50"	"0.6"	"2"	"50"	"150"	"20/8/2019 08:41:20"	"20/8/2019 08:41:20"
"14"	"6"	"2"	"1170"	"20"	"20"	"90"	"0.6"	"2"	"50"	"150"	"20/8/2019 08:41:20"	"20/8/2019 08:41:20"
"15"	"6"	"3"	"2340"	"20"	"20"	"180"	"0.6"	"2"	"50"	"150"	"20/8/2019 08:41:20"	"20/8/2019 08:41:20"
"16"	"7"	"1"	"500"	"25"	"20"	"50"	"0.7"	"4"	"0"	"100"	"20/8/2019 08:44:58"	"20/8/2019 08:44:58"
"17"	"7"	"2"	"900"	"25"	"20"	"90"	"0.7"	"4"	"0"	"100"	"20/8/2019 08:44:58"	"20/8/2019 08:44:58"
"18"	"7"	"3"	"1800"	"25"	"20"	"180"	"0.7"	"4"	"0"	"100"	"20/8/2019 08:44:58"	"20/8/2019 08:44:58"
