"id"	"hero_id"	"job_race_id"	"created_at"	"updated_at"
"1"	"2"	"9"	"20/8/2019 07:52:47"	"20/8/2019 07:52:47"
"2"	"2"	"15"	"20/8/2019 07:58:11"	"20/8/2019 07:58:11"
"3"	"2"	"11"	"20/8/2019 07:58:11"	"20/8/2019 07:58:11"
"4"	"3"	"11"	"20/8/2019 08:26:35"	"20/8/2019 08:26:35"
"5"	"3"	"4"	"20/8/2019 08:26:35"	"20/8/2019 08:26:35"
"6"	"4"	"2"	"20/8/2019 08:30:31"	"20/8/2019 08:30:31"
"7"	"4"	"11"	"20/8/2019 08:30:31"	"20/8/2019 08:30:31"
"8"	"5"	"11"	"20/8/2019 08:36:51"	"20/8/2019 08:36:51"
"9"	"5"	"1"	"20/8/2019 08:36:51"	"20/8/2019 08:36:51"
"10"	"6"	"11"	"20/8/2019 08:41:20"	"20/8/2019 08:41:20"
"11"	"6"	"10"	"20/8/2019 08:41:20"	"20/8/2019 08:41:20"
"12"	"7"	"11"	"20/8/2019 08:44:58"	"20/8/2019 08:44:58"
"13"	"7"	"8"	"20/8/2019 08:44:58"	"20/8/2019 08:44:58"
"14"	"8"	"11"	"20/8/2019 08:48:55"	"20/8/2019 08:48:55"
"15"	"8"	"9"	"20/8/2019 08:48:55"	"20/8/2019 08:48:55"
"16"	"9"	"12"	"20/8/2019 08:54:45"	"20/8/2019 08:54:45"
"17"	"9"	"10"	"20/8/2019 08:54:45"	"20/8/2019 08:54:45"
"18"	"10"	"12"	"20/8/2019 09:03:05"	"20/8/2019 09:03:05"
"19"	"10"	"9"	"20/8/2019 09:03:05"	"20/8/2019 09:03:05"
"22"	"12"	"13"	"20/8/2019 09:11:59"	"20/8/2019 09:11:59"
"23"	"12"	"2"	"20/8/2019 09:11:59"	"20/8/2019 09:11:59"
"24"	"13"	"14"	"20/8/2019 09:15:13"	"20/8/2019 09:15:13"
"25"	"13"	"4"	"20/8/2019 09:15:13"	"20/8/2019 09:15:13"
"26"	"14"	"14"	"20/8/2019 09:20:10"	"20/8/2019 09:20:10"
"27"	"14"	"7"	"20/8/2019 09:20:10"	"20/8/2019 09:20:10"
"28"	"15"	"14"	"20/8/2019 09:23:32"	"20/8/2019 09:23:32"
"29"	"15"	"3"	"20/8/2019 09:23:32"	"20/8/2019 09:23:32"
"30"	"16"	"14"	"20/8/2019 09:26:30"	"20/8/2019 09:26:30"
"31"	"16"	"8"	"20/8/2019 09:26:30"	"20/8/2019 09:26:30"
"32"	"17"	"14"	"20/8/2019 09:30:19"	"20/8/2019 09:30:19"
"33"	"17"	"4"	"20/8/2019 09:30:19"	"20/8/2019 09:30:19"
"34"	"18"	"14"	"20/8/2019 09:33:14"	"20/8/2019 09:33:14"
"35"	"18"	"5"	"20/8/2019 09:33:14"	"20/8/2019 09:33:14"
"36"	"19"	"15"	"20/8/2019 12:38:06"	"20/8/2019 12:38:06"
"37"	"19"	"2"	"20/8/2019 12:38:06"	"20/8/2019 12:38:06"
"38"	"20"	"15"	"20/8/2019 12:42:40"	"20/8/2019 12:42:40"
"39"	"20"	"1"	"20/8/2019 12:42:40"	"20/8/2019 12:42:40"
"40"	"21"	"15"	"20/8/2019 12:47:10"	"20/8/2019 12:47:10"
"41"	"21"	"7"	"20/8/2019 12:47:10"	"20/8/2019 12:47:10"
"42"	"22"	"16"	"20/8/2019 13:29:03"	"20/8/2019 13:29:03"
"43"	"22"	"1"	"20/8/2019 13:29:03"	"20/8/2019 13:29:03"
"44"	"23"	"16"	"20/8/2019 13:38:32"	"20/8/2019 13:38:32"
"45"	"23"	"4"	"20/8/2019 13:38:32"	"20/8/2019 13:38:32"
"46"	"23"	"23"	"20/8/2019 13:38:32"	"20/8/2019 13:38:32"
"47"	"24"	"16"	"20/8/2019 14:12:13"	"20/8/2019 14:12:13"
"48"	"24"	"2"	"20/8/2019 14:12:13"	"20/8/2019 14:12:13"
"49"	"25"	"16"	"20/8/2019 15:41:00"	"20/8/2019 15:41:00"
"50"	"25"	"1"	"20/8/2019 15:41:00"	"20/8/2019 15:41:00"
"51"	"26"	"17"	"20/8/2019 15:46:30"	"20/8/2019 15:46:30"
"52"	"26"	"7"	"20/8/2019 15:46:30"	"20/8/2019 15:46:30"
"53"	"27"	"17"	"20/8/2019 15:50:14"	"20/8/2019 15:50:14"
"54"	"27"	"5"	"20/8/2019 15:50:15"	"20/8/2019 15:50:15"
"55"	"28"	"17"	"20/8/2019 15:53:24"	"20/8/2019 15:53:24"
"56"	"28"	"6"	"20/8/2019 15:53:24"	"20/8/2019 15:53:24"
"57"	"29"	"17"	"20/8/2019 15:56:30"	"20/8/2019 15:56:30"
"58"	"29"	"2"	"20/8/2019 15:56:30"	"20/8/2019 15:56:30"
"59"	"30"	"17"	"20/8/2019 15:59:46"	"20/8/2019 15:59:46"
"60"	"30"	"7"	"20/8/2019 15:59:46"	"20/8/2019 15:59:46"
"61"	"31"	"17"	"20/8/2019 16:02:42"	"20/8/2019 16:02:42"
"62"	"31"	"8"	"20/8/2019 16:02:42"	"20/8/2019 16:02:42"
"63"	"32"	"18"	"20/8/2019 16:24:32"	"20/8/2019 16:24:32"
"64"	"32"	"10"	"20/8/2019 16:24:32"	"20/8/2019 16:24:32"
"65"	"33"	"18"	"20/8/2019 16:27:42"	"20/8/2019 16:27:42"
"66"	"33"	"8"	"20/8/2019 16:27:42"	"20/8/2019 16:27:42"
"67"	"34"	"18"	"20/8/2019 16:31:12"	"20/8/2019 16:31:12"
"68"	"34"	"7"	"20/8/2019 16:31:12"	"20/8/2019 16:31:12"
"69"	"35"	"19"	"20/8/2019 16:34:44"	"20/8/2019 16:34:44"
"70"	"35"	"6"	"20/8/2019 16:34:44"	"20/8/2019 16:34:44"
