"id"	"name"	"nickname"	"img"	"price"	"skill"	"created_at"	"updated_at"
"2"	"诺克萨斯统领"	"斯维因"	"http://img.dwstatic.com/lol/1906/425406659811/1561451466300.png"	"5"	"恶魔升华：斯维因转变形态，吸取附近敌人的生命值。变形结束后斯维因会对周围敌人造成伤害。
技能伤害：300 / 600 / 900
生命偷取：60% / 90% / 120%"	"20/8/2019 07:52:47"	"20/8/2019 08:32:35"
"3"	"复仇焰魂"	"布兰德"	"http://img.dwstatic.com/lol/1906/425405952031/1561450757957.png"	"4"	"烈焰风暴：布兰德释放一颗可以弹射的火球，对命中的敌人造成伤害。
技能伤害：250 /  450 / 650"	"20/8/2019 08:26:34"	"20/8/2019 08:26:34"
"4"	"暗裔剑魔"	"亚托克斯"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848025.png"	"3"	"暗裔利刃：亚托克斯劈砍他面前的区域，对其中的敌人造成伤害。
技能伤害：250 / 600 / 950"	"20/8/2019 08:30:30"	"20/8/2019 08:30:30"
"5"	"痛苦之拥"	"伊芙琳"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848144.png"	"3"	"最终抚慰：伊芙琳对距离她最近的3个敌人造成伤害并传送到远离他们的位置。对生命值不满的敌人造成更高的伤害。
斩杀线：65%HP
技能伤害：200 / 300 / 400"	"20/8/2019 08:36:51"	"20/8/2019 08:36:51"
"6"	"堕落天使"	"莫甘娜"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848409.png"	"3"	"灵魂镣铐：莫甘娜为附近的敌人套上枷锁并造成伤害。如果在短暂的延迟后敌人仍然在附近则会被眩晕。
技能伤害：200 / 325 / 450"	"20/8/2019 08:41:20"	"20/8/2019 08:41:35"
"7"	"惩戒之箭"	"维鲁斯"	"http://img.dwstatic.com/lol/1906/425402431458/1561447238636.png"	"2"	"穿刺之箭：维鲁斯蓄力将箭射出，对直线上的所有人造成伤害。
技能伤害：300 / 550 / 800"	"20/8/2019 08:44:58"	"20/8/2019 08:44:58"
"8"	"蜘蛛女皇"	"伊莉丝"	"http://img.dwstatic.com/lol/1906/425402431458/1561447237967.png"	"1"	"蜘蛛形态：伊莉丝召唤出小蜘蛛，变形并获取生命吸取。
技能伤害：蜘蛛数量 2 / 3 / 4
蜘蛛攻击力：50"	"20/8/2019 08:48:55"	"20/8/2019 08:48:55"
"9"	"铸星龙王"	"奥瑞安索尔"	"http://img.dwstatic.com/lol/1906/425405952031/1561450757915.png"	"4"	"星弦高落：奥瑞利安索尔在沿直线喷吐出一道纯净的星火，对敌人造成伤害。
技能伤害：250 / 500 / 750"	"20/8/2019 08:54:45"	"20/8/2019 08:54:45"
"10"	"龙血武姬"	"希瓦娜"	"http://img.dwstatic.com/lol/1906/425405042468/1561449848612.png"	"3"	"魔龙降世：希瓦娜化身巨龙掠过天空并变身，获得攻击伤害提成和射程。在变形期间，希瓦娜的攻击会点燃敌人。
技能伤害：100 / 150 / 200"	"20/8/2019 09:03:04"	"20/8/2019 09:03:04"
"12"	"疾风剑豪"	"亚索"	"http://img.dwstatic.com/lol/1906/425399309851/1561445163069.png"	"5"	"斩钢闪：亚索向前出剑，对两个敌人造成伤害。第三次施放时，亚索会发出一阵强烈的旋风，对直线上的敌人造成伤害并且将其击飞。
技能伤害：150 / 350 / 550
击飞时间：1.5秒"	"20/8/2019 09:11:58"	"20/8/2019 09:11:58"
