"id"	"name"	"created_at"	"updated_at"	"img"
"1"	"恶魔"	"20/8/2019 05:56:27"	"20/8/2019 05:56:27"	
"2"	"龙族"	"20/8/2019 05:56:34"	"20/8/2019 05:56:34"	
"3"	"浪人"	"20/8/2019 05:56:43"	"20/8/2019 05:56:43"	
"4"	"极地"	"20/8/2019 05:56:49"	"20/8/2019 05:56:49"	
"5"	"帝国"	"20/8/2019 05:56:55"	"20/8/2019 05:56:55"	
"6"	"忍者"	"20/8/2019 05:57:01"	"20/8/2019 05:57:01"	
"7"	"贵族"	"20/8/2019 05:57:08"	"20/8/2019 05:57:08"	
"8"	"暗影单位"	"20/8/2019 05:57:17"	"20/8/2019 05:57:17"	
"9"	"海盗"	"20/8/2019 05:57:23"	"20/8/2019 05:57:23"	
"10"	"机器人"	"20/8/2019 05:57:29"	"20/8/2019 05:57:29"	
"11"	"虚空"	"20/8/2019 05:57:35"	"20/8/2019 05:57:35"	
"12"	"狂野"	"20/8/2019 05:57:46"	"20/8/2019 05:57:46"	
"13"	"约德尔人"	"20/8/2019 05:57:54"	"20/8/2019 05:57:54"	
"14"	"海克斯科技"	"20/8/2019 05:58:01"	"20/8/2019 05:58:01"	
